,word,category,sentiment
1074,complementari,positive,1
1075,belat,negative,-1
1076,vanish,negative,-1
1077,scare,negative,-1
1078,terrorist,negative,-1
1079,savageri,negative,-1
1080,hale,positive,1
1081,stereotyp,negative,-1
1082,lie,negative,-1
1083,grime,negative,-1
1084,priest,positive,1
1085,liber,positive,1
1086,doubt,negative,-1
1087,overwhelm,positive,1
1088,torrid,negative,-1
1089,sneak,negative,-1
1090,groundwork,positive,1
1091,sear,negative,-1
1092,congreg,positive,1
1093,genteel,positive,1
1094,friendship,positive,1
1095,permiss,positive,1
1096,depress,negative,-1
1097,tarnish,negative,-1
1098,crucial,positive,1
1099,ace,positive,1
1100,dishearten,negative,-1
1101,hurri,negative,-1
1102,athlet,positive,1
1103,synergist,positive,1
1104,convent,positive,1
1105,incongru,negative,-1
1106,mockeri,negative,-1
1107,cri,negative,-1
1108,braveri,positive,1
1109,ripen,positive,1
1110,revel,positive,1
1111,omin,negative,-1
1112,romp,positive,1
1113,ownership,positive,1
1114,organ,positive,1
1115,appropri,negative,-1
1116,hobbi,positive,1
1117,brandi,negative,-1
1118,popul,positive,1
1119,gross,negative,-1
1120,wreck,negative,-1
1121,mainstay,positive,1
1122,fleet,positive,1
1123,bias,negative,-1
1124,undo,negative,-1
1125,tast,positive,1
1126,incrimin,negative,-1
1127,helmet,positive,1
1128,bias,negative,-1
1129,latrin,negative,-1
1130,mutant,negative,-1
1131,lyre,positive,1
1132,hut,positive,1
1133,attract,positive,1
1134,deactiv,negative,-1
1135,suicid,negative,-1
1136,writer,positive,1
1137,king,positive,1
1138,daemon,negative,-1
1139,tumbl,negative,-1
1140,question,positive,1
1141,scoundrel,negative,-1
1142,paramount,positive,1
1143,pivot,positive,1
1144,offend,negative,-1
1145,pressur,negative,-1
1146,stagnant,negative,-1
1147,elimin,negative,-1
1148,befal,negative,-1
1149,donkey,negative,-1
1150,moron,negative,-1
1151,prodigi,positive,1
1152,courag,positive,1
1153,stranger,negative,-1
1154,maroon,negative,-1
1155,perform,positive,1
1156,quest,positive,1
1157,moot,negative,-1
1158,amnesti,positive,1
1159,remand,negative,-1
1160,overcast,negative,-1
1161,mess,negative,-1
1162,untrain,negative,-1
1163,ruse,negative,-1
1164,improv,positive,1
1165,banish,negative,-1
1166,libel,negative,-1
1167,sting,negative,-1
1168,pay,positive,1
1169,repudi,negative,-1
1170,mover,positive,1
1171,irregular,negative,-1
1172,crabbi,negative,-1
1173,admonit,negative,-1
1174,picnic,positive,1
1175,nefari,negative,-1
1176,banquet,positive,1
1177,burk,negative,-1
1178,jam,positive,1
1179,courtship,positive,1
1180,exhaust,negative,-1
1181,subject,negative,-1
1182,grizzli,negative,-1
1183,forsaken,negative,-1
1184,burglari,negative,-1
1185,includ,positive,1
1186,hobo,negative,-1
1187,suppress,negative,-1
1188,furious,negative,-1
1189,torpedo,negative,-1
1190,irrit,negative,-1
1191,fame,positive,1
1192,witti,positive,1
1193,venom,negative,-1
1194,incomprehens,negative,-1
1195,strategist,positive,1
1196,repel,negative,-1
1197,deceiv,negative,-1
1198,cash,positive,1
1199,reliabl,positive,1
1200,annihil,negative,-1
1201,hospit,positive,1
1202,abolish,negative,-1
1203,beat,negative,-1
1204,discard,negative,-1
1205,listless,negative,-1
